"id","robot","match","piece","pickup","score","level","success","time","phase"
1306,6867,52,"hatch","preload","front-cargo","1","success",2733,"sandstorm"
1307,6867,52,"hatch","bot-hp","bot-cargo","1","success",2235,"tele"
1308,6867,52,"hatch","bot-hp","bot-cargo","1","success",5126,"tele"
1309,6867,52,"hatch","bot-hp","bot-cargo","1","success",15766,"tele"
1310,6867,52,"hatch","top-hp","bot-rocket-low","1","success",9976,"tele"
1311,6867,52,"hatch","bot-hp","bot-rocket-low","1","success",1816,"tele"
1312,7690,52,"cargo","preload","bot-cargo","1","success",4979,"tele"
1313,7690,52,"cargo","top-hp","dropped","0","dropped",1071,"tele"
1314,7690,52,"cargo","top-hp","bot-cargo","1","success",10323,"tele"
1315,7690,52,"cargo","top-hp","bot-cargo","1","success",11385,"tele"
1316,1334,52,"cargo","preload","bot-cargo","1","success",6618,"tele"
1317,1334,52,"hatch","bot-hp","dropped","0","dropped",23305,"tele"
